"cod";"lat";"lon";"name"
"183";"A523";"-18.996684";" -46.985935";"MG-Patrocionio"
"184";"A545";"-17.258064";" -44.835600";"MG-Pirapora"
"185";"A551";"-15.723139";" -42.43575";"MG-RioPardodeMinas"
"186";"A525";"-19.875271";" -47.434102";"MG-Sacramento"
"187";"A552";"-16.160327";" -42.310266";"MG-Salinas"
"188";"A514";"-21.106502";" -44.250928";"MG-SãoJoãoDel-Rei"
"189";"A547";"-16.362747";" -45.123801";"MG-SãoRomão"
"190";"A522";"-17.798799";" -40.249933";"MG-SerradosAimorés"
"191";"A527";"-17.892840";" -41.515423";"MG-TeofiloOtoni"
"192";"A511";"-19.573824";" -42.622413";"MG-Timoteo"
"193";"A528";"-18.200855";" -45.459836";"MG-TresMarias"
"194";"A507";"-18.917072";" -48.255657";"MG-Uberlandia"
"195";"A542";"-16.554101";" -46.881935";"MG-Unai"
"196";"A515";"-21.566513";" -45.404300";"MG-Varginha"
"197";"A510";"-20.762607";" -42.864013";"MG-Viçosa"
"198";"A756";"-20.44444";" -52.87583";"MS-AguaClara"
"199";"A750";"-23.002530";" -55.329357";"MS-Amambai"
"200";"A719";"-20.475420";" -55.784006";"MS-Aquidauana"
"201";"A759";"-21.750123";" -52.471294";"MS-Bataguassu"
"202";"A757";"-22.101536";" -56.540763";"MS-BelaVista"
"203";"A702";"-20.447195";" -54.722615";"MS-CampoGrande"
"204";"A742";"-19.122471";" -51.720732";"MS-Cassilandia"
"205";"A730";"-18.802187";" -52.602620";"MS-ChapadãodoSul"
"206";"A724";"-18.99667";" -57.6375";"MS-Corumbá"
"207";"A760";"-18.492665";" -53.171261";"MS-CostaRica"
"208";"A720";"-18.512146";" -54.736116";"MS-Coxim"
"209";"A721";"-22.193920";" -54.911355";"MS-Dourados"
"210";"A752";"-23.449501";" -54.181858";"MS-Itaquirai"
"211";"A709";"-22.300421";" -53.822895";"MS-Ivinhema"
"212";"A758";"-21.478529";" -56.137717";"MS-Jardim"
"213";"A749";"-22.857210";" -54.605634";"MS-Juti"
"214";"A731";"-21.609036";" -55.177531";"MS-Maracajú"
"215";"A722";"-20.395530";" -56.431736";"MS-Miranda"
"216";"A717";"-18.988681";" -56.622868";"MS-Nhumirim"
"217";"A710";"-19.695517";" -51.181769";"MS-Paranaíba"
"218";"A703";"-22.552448";" -55.716317";"MS-PontaPorã"
